"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,district - inner city,10772,4637,6135
,,,,district - Østerbro,14760,6046,8714
,,,,district - Nørrebro,16329,6837,9492
,,,,district - Vesterbro/Kongens Enghave,15979,7100,8879
,,,,district - Valby,11686,5131,6555
,,,,district - Vanløse,7041,2840,4201
,,,,district - Brønshøj-Husum,6283,2670,3613
,,,,district - Bispebjerg,10541,4402,6139
,,,,district - Amager Øst,11508,4964,6544
,,,,district - Amager Vest,17115,7547,9568
,,,,local committee - inner city,8427,3664,4763
,,,,local committee - Christianshavn,2345,973,1372
,,,,local committee - Østerbro,14760,6046,8714
,,,,local committee - Nørrebro,16329,6837,9492
,,,,local committee - Vesterbro,9313,4104,5209
,,,,local committee - Kgs. Enghave,6666,2996,3670
,,,,local committee - Valby,11686,5131,6555
,,,,local committee - Vanløse,7041,2840,4201
,,,,local committee - Brønshøj-Husum,6283,2670,3613
,,,,local committee - Bispebjerg,10541,4402,6139
,,,,local committee - Amager Øst,11508,4964,6544
,,,,local committee - Amager Vest,17115,7547,9568
,,,,inner city - Middelalderbyen,1946,871,1075
,,,,inner city - Metropolzonen,568,282,286
,,,,inner city - Nansensgade-kvarteret,1269,552,717
,,,,inner city - Øster Farimagsgade-kvarteret,1211,507,704
,,,,inner city - Østerport,760,327,433
,,,,inner city - Frederiksstaden,2117,870,1247
,,,,inner city - Gammelholm og Nyhavn,556,255,301
,,,,Christianshavn - Neden Vandet,550,236,314
,,,,Christianshavn - Oven Vandet,1141,440,701
,,,,Christianshavn - Holmen og Refshaleøen,654,297,357
,,,,Østerbro - Nord/Komponistkvarteret,597,240,357
,,,,Østerbro - Svanemøllen Syd/Øst,1986,783,1203
,,,,Østerbro - yearshusgade Nord,1907,787,1120
,,,,Østerbro - yearshusgade Syd,2210,904,1306
,,,,Østerbro - Rosenvænget,1925,789,1136
,,,,Østerbro - Ny Ryvang,404,181,223
,,,,Østerbro - Nord,684,267,417
,,,,Østerbro - Nordhavn,1112,516,596
,,,,Østerbro - Lyngbyvej Vest,951,392,559
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,1435,605,830
,,,,Østerbro - Fælled,1549,582,967
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,2795,1161,1634
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,4127,1717,2410
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,3578,1504,2074
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,3706,1607,2099
,,,,Nørrebro - Haraldsgade-kvarteret,2123,848,1275
,,,,Vesterbro - Vest,2151,925,1226
,,,,Vesterbro - Central,4576,1934,2642
,,,,Vesterbro - Øst,1581,738,843
,,,,Vesterbro - Syd,1005,507,498
,,,,Kgs. Enghave - Bavnehøj,790,331,459
,,,,Kgs. Enghave - Gl. Sydhavn,2310,938,1372
,,,,Kgs. Enghave - Holmene,3566,1727,1839
,,,,Valby - Gl. Valby,2387,1023,1364
,,,,Valby - Syd,3737,1678,2059
,,,,Valby - Ålholm,1560,656,904
,,,,Valby - Valby Sydvest,2846,1288,1558
,,,,Valby - Vigerslev,1156,486,670
,,,,Vanløse - Jyllingevej Kvarter,1892,775,1117
,,,,Vanløse - Jernbane Allé Kvarter,2619,1044,1575
,,,,Vanløse - Sallingvej Kvarter,1643,676,967
,,,,Vanløse - Grøndals Park Kvarter,887,345,542
,,,,Brønshøj-Husum - Husum,2294,1010,1284
,,,,Brønshøj-Husum - Husum Nord,1165,489,676
,,,,Brønshøj-Husum - Tingbjerg,619,267,352
,,,,Brønshøj-Husum - Brønshøj,1674,685,989
