"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,inner city - Metropolzonen,71,46,25
,,,,inner city - Nansensgade-kvarteret,154,91,63
,,,,inner city - Øster Farimagsgade-kvarteret,116,71,45
,,,,inner city - Østerport,90,52,38
,,,,inner city - Frederiksstaden,187,119,68
,,,,inner city - Gammelholm og Nyhavn,88,53,35
,,,,Christianshavn - Neden Vandet,85,52,33
,,,,Christianshavn - Oven Vandet,222,131,91
,,,,Christianshavn - Holmen og Refshaleøen,33,20,13
,,,,Østerbro - Nord/Komponistkvarteret,75,44,31
,,,,Østerbro - Svanemøllen Syd/Øst,329,203,126
,,,,Østerbro - yearshusgade Nord,202,123,79
,,,,Østerbro - yearshusgade Syd,191,109,82
,,,,Østerbro - Rosenvænget,173,111,62
,,,,Østerbro - Ny Ryvang,201,109,92
,,,,Østerbro - Nord,109,52,57
,,,,Østerbro - Nordhavn,102,58,44
,,,,Østerbro - Lyngbyvej Vest,133,92,41
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,123,67,56
,,,,Østerbro - Fælled,188,109,79
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,504,274,230
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,511,287,224
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,482,278,204
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,534,285,249
,,,,Nørrebro - Haraldsgade-kvarteret,463,226,237
,,,,Vesterbro - Vest,308,185,123
,,,,Vesterbro - Central,619,381,238
,,,,Vesterbro - Øst,212,133,79
,,,,Vesterbro - Syd,115,77,38
,,,,Kgs. Enghave - Bavnehøj,215,140,75
,,,,Kgs. Enghave - Gl. Sydhavn,912,555,357
,,,,Kgs. Enghave - Holmene,375,210,165
,,,,Valby - Gl. Valby,311,189,122
,,,,Valby - Syd,747,425,322
,,,,Valby - Ålholm,283,152,131
,,,,Valby - Valby Sydvest,593,361,232
,,,,Valby - Vigerslev,382,239,143
,,,,Vanløse - Jyllingevej Kvarter,320,186,134
,,,,Vanløse - Jernbane Allé Kvarter,422,255,167
,,,,Vanløse - Sallingvej Kvarter,214,113,101
,,,,Vanløse - Grøndals Park Kvarter,167,108,59
,,,,Brønshøj-Husum - Husum,622,375,247
,,,,Brønshøj-Husum - Husum Nord,604,301,303
,,,,Brønshøj-Husum - Tingbjerg,404,199,205
,,,,Brønshøj-Husum - Brønshøj,193,120,73
,,,,Brønshøj-Husum - Bellahøj,285,153,132
,,,,Bispebjerg - Emdrup,181,119,62
,,,,Bispebjerg- Ryparken-Lundehus,339,192,147
,,,,Bispebjerg - Bispebjerg,270,162,108
,,,,Bispebjerg - Utterslev,328,186,142
,,,,Bispebjerg - Nordvest,1516,900,616
,,,,Amager Øst - Amagerbro Øst,869,466,403
,,,,Amager Øst - Sundbyøster,454,271,183
,,,,Amager Øst - Villakvartererne,400,238,162
,,,,Amager Øst - Nordøstamager,220,121,99
,,,,Amager Vest - Amagerbro Vest,176,119,57
,,,,Amager Vest - Bryggen Syd,95,57,38
,,,,Amager Vest - Faste Batteri,75,45,30
,,,,Amager Vest - Gamle Bryggen,165,100,65
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),48,24,24
,,,,Amager Vest - Kolonihavekvarteret,216,121,95
,,,,Amager Vest - Sundbyvester,396,215,181
,,,,Amager Vest - Sundholmsvejs kvarteret,656,342,314
,,,,Amager Vest - Urbanplanen,355,203,152
,,,,Amager Vest - Ørestad City,344,200,144
,,,,Amager Vest - Ørestad Syd,459,245,214
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,11700,6979,4721
,,,,district - inner city,1013,592,421
,,,,district - Østerbro,1270,739,531
,,,,district - Nørrebro,1437,851,586
,,,,district - Vesterbro/Kongens Enghave,1672,1001,671
,,,,district - Valby,993,597,396
,,,,district - Vanløse,678,424,254
,,,,district - Brønshøj-Husum,702,402,300
,,,,district - Bispebjerg,1086,657,429
,,,,district - Amager Øst,1095,639,456
,,,,district - Amager Vest,1630,984,646
,,,,local committee - inner city,794,452,342
,,,,local committee - Christianshavn,219,140,79
,,,,local committee - Østerbro,1270,739,531
,,,,local committee - Nørrebro,1437,851,586
,,,,local committee - Vesterbro,1048,630,418
,,,,local committee - Kgs. Enghave,624,371,253
,,,,local committee - Valby,993,597,396
,,,,local committee - Vanløse,678,424,254
,,,,local committee - Brønshøj-Husum,702,402,300
,,,,local committee - Bispebjerg,1086,657,429
,,,,local committee - Amager Øst,1095,639,456
,,,,local committee - Amager Vest,1630,984,646
,,,,inner city - Middelalderbyen,168,93,75
,,,,inner city - Metropolzonen,56,35,21
,,,,inner city - Nansensgade-kvarteret,127,74,53
,,,,inner city - Øster Farimagsgade-kvarteret,129,77,52
,,,,inner city - Østerport,73,40,33
,,,,inner city - Frederiksstaden,171,97,74
,,,,inner city - Gammelholm og Nyhavn,70,36,34
,,,,Christianshavn - Neden Vandet,46,31,15
,,,,Christianshavn - Oven Vandet,122,70,52
,,,,Christianshavn - Holmen og Refshaleøen,51,39,12
,,,,Østerbro - Nord/Komponistkvarteret,66,37,29
,,,,Østerbro - Svanemøllen Syd/Øst,180,105,75
,,,,Østerbro - yearshusgade Nord,137,82,55
,,,,Østerbro - yearshusgade Syd,168,95,73
,,,,Østerbro - Rosenvænget,179,104,75
,,,,Østerbro - Ny Ryvang,54,26,28
,,,,Østerbro - Nord,94,51,43
,,,,Østerbro - Nordhavn,87,53,34
,,,,Østerbro - Lyngbyvej Vest,75,39,36
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,100,65,35
,,,,Østerbro - Fælled,130,82,48
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,267,150,117
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,372,210,162
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,310,207,103
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,322,200,122
,,,,Nørrebro - Haraldsgade-kvarteret,166,84,82
,,,,Vesterbro - Vest,235,143,92
,,,,Vesterbro - Central,550,323,227
,,,,Vesterbro - Øst,188,116,72
,,,,Vesterbro - Syd,75,48,27
,,,,Kgs. Enghave - Bavnehøj,69,32,37
,,,,Kgs. Enghave - Gl. Sydhavn,303,184,119
,,,,Kgs. Enghave - Holmene,252,155,97
,,,,Valby - Gl. Valby,164,95,69
,,,,Valby - Syd,333,197,136
,,,,Valby - Ålholm,171,106,65
,,,,Valby - Valby Sydvest,203,125,78
,,,,Valby - Vigerslev,122,74,48
,,,,Vanløse - Jyllingevej Kvarter,179,111,68
,,,,Vanløse - Jernbane Allé Kvarter,239,152,87
,,,,Vanløse - Sallingvej Kvarter,163,95,68
,,,,Vanløse - Grøndals Park Kvarter,97,66,31
,,,,Brønshøj-Husum - Husum,253,153,100
,,,,Brønshøj-Husum - Husum Nord,163,85,78
,,,,Brønshøj-Husum - Tingbjerg,89,40,49
,,,,Brønshøj-Husum - Brønshøj,135,86,49
,,,,Brønshøj-Husum - Bellahøj,62,38,24
,,,,Bispebjerg - Emdrup,79,56,23
,,,,Bispebjerg- Ryparken-Lundehus,117,63,54
,,,,Bispebjerg - Bispebjerg,140,84,56
,,,,Bispebjerg - Utterslev,129,75,54
,,,,Bispebjerg - Nordvest,621,379,242
,,,,Amager Øst - Amagerbro Øst,407,233,174
,,,,Amager Øst - Sundbyøster,246,150,96
,,,,Amager Øst - Villakvartererne,267,157,110
,,,,Amager Øst - Nordøstamager,175,99,76
,,,,Amager Vest - Amagerbro Vest,123,78,45
,,,,Amager Vest - Bryggen Syd,130,91,39
,,,,Amager Vest - Faste Batteri,77,42,35
,,,,Amager Vest - Gamle Bryggen,128,80,48
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),42,27,15
,,,,Amager Vest - Kolonihavekvarteret,98,56,42
,,,,Amager Vest - Sundbyvester,258,149,109
,,,,Amager Vest - Sundholmsvejs kvarteret,212,112,100
,,,,Amager Vest - Urbanplanen,80,46,34
,,,,Amager Vest - Ørestad City,191,118,73
,,,,Amager Vest - Ørestad Syd,291,185,106
,,,Vocational education and training programs and short-cycle higher education programs,København in total,34642,19477,15165
,,,,district - inner city,2033,1142,891
,,,,district - Østerbro,3440,1912,1528
,,,,district - Nørrebro,3356,1882,1474
,,,,district - Vesterbro/Kongens Enghave,4279,2500,1779
,,,,district - Valby,3991,2218,1773
,,,,district - Vanløse,2407,1375,1032
,,,,district - Brønshøj-Husum,2772,1497,1275
,,,,district - Bispebjerg,3101,1755,1346
,,,,district - Amager Øst,3775,2134,1641
,,,,district - Amager Vest,5234,2856,2378
,,,,local committee - inner city,1499,823,676
,,,,local committee - Christianshavn,534,319,215
,,,,local committee - Østerbro,3440,1912,1528
,,,,local committee - Nørrebro,3356,1882,1474
,,,,local committee - Vesterbro,2227,1337,890
,,,,local committee - Kgs. Enghave,2052,1163,889
,,,,local committee - Valby,3991,2218,1773
,,,,local committee - Vanløse,2407,1375,1032
,,,,local committee - Brønshøj-Husum,2772,1497,1275
,,,,local committee - Bispebjerg,3101,1755,1346
,,,,local committee - Amager Øst,3775,2134,1641
,,,,local committee - Amager Vest,5234,2856,2378
,,,,inner city - Middelalderbyen,272,153,119
,,,,inner city - Metropolzonen,106,65,41
,,,,inner city - Nansensgade-kvarteret,242,135,107
,,,,inner city - Øster Farimagsgade-kvarteret,243,126,117
,,,,inner city - Østerport,140,83,57
,,,,inner city - Frederiksstaden,348,178,170
,,,,inner city - Gammelholm og Nyhavn,148,83,65
,,,,Christianshavn - Neden Vandet,128,80,48
,,,,Christianshavn - Oven Vandet,282,170,112
,,,,Christianshavn - Holmen og Refshaleøen,124,69,55
,,,,Østerbro - Nord/Komponistkvarteret,134,67,67
,,,,Østerbro - Svanemøllen Syd/Øst,535,297,238
,,,,Østerbro - yearshusgade Nord,373,220,153
,,,,Østerbro - yearshusgade Syd,541,309,232
,,,,Østerbro - Rosenvænget,368,203,165
,,,,Østerbro - Ny Ryvang,225,115,110
,,,,Østerbro - Nord,184,95,89
,,,,Østerbro - Nordhavn,235,137,98
,,,,Østerbro - Lyngbyvej Vest,215,117,98
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,347,192,155
,,,,Østerbro - Fælled,283,160,123
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,576,316,260
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,758,448,310
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,838,465,373
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,668,377,291
,,,,Nørrebro - Haraldsgade-kvarteret,516,276,240
,,,,Vesterbro - Vest,555,313,242
,,,,Vesterbro - Central,1138,683,455
,,,,Vesterbro - Øst,311,192,119
,,,,Vesterbro - Syd,223,149,74
,,,,Kgs. Enghave - Bavnehøj,234,125,109
,,,,Kgs. Enghave - Gl. Sydhavn,971,549,422
,,,,Kgs. Enghave - Holmene,847,489,358
,,,,Valby - Gl. Valby,638,382,256
,,,,Valby - Syd,1276,720,556
,,,,Valby - Ålholm,663,364,299
,,,,Valby - Valby Sydvest,920,472,448
,,,,Valby - Vigerslev,494,280,214
,,,,Vanløse - Jyllingevej Kvarter,647,359,288
,,,,Vanløse - Jernbane Allé Kvarter,900,513,387
,,,,Vanløse - Sallingvej Kvarter,544,331,213
,,,,Vanløse - Grøndals Park Kvarter,316,172,144
,,,,Brønshøj-Husum - Husum,1051,617,434
,,,,Brønshøj-Husum - Husum Nord,656,329,327
,,,,Brønshøj-Husum - Tingbjerg,311,140,171
,,,,Brønshøj-Husum - Brønshøj,513,293,220
,,,,Brønshøj-Husum - Bellahøj,241,118,123
,,,,Bispebjerg - Emdrup,242,135,107
,,,,Bispebjerg- Ryparken-Lundehus,399,195,204
,,,,Bispebjerg - Bispebjerg,390,213,177
,,,,Bispebjerg - Utterslev,394,211,183
,,,,Bispebjerg - Nordvest,1676,1001,675
,,,,Amager Øst - Amagerbro Øst,1397,781,616
,,,,Amager Øst - Sundbyøster,934,523,411
,,,,Amager Øst - Villakvartererne,934,553,381
,,,,Amager Øst - Nordøstamager,510,277,233
,,,,Amager Vest - Amagerbro Vest,361,197,164
,,,,Amager Vest - Bryggen Syd,327,181,146
,,,,Amager Vest - Faste Batteri,161,84,77
,,,,Amager Vest - Gamle Bryggen,467,281,186
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),125,76,49
,,,,Amager Vest - Kolonihavekvarteret,320,186,134
,,,,Amager Vest - Sundbyvester,874,496,378
,,,,Amager Vest - Sundholmsvejs kvarteret,798,392,406
,,,,Amager Vest - Urbanplanen,334,136,198
,,,,Amager Vest - Ørestad City,604,344,260
,,,,Amager Vest - Ørestad Syd,863,483,380
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,40404,17864,22540
,,,,district - inner city,3077,1404,1673
,,,,district - Østerbro,4648,1880,2768
,,,,district - Nørrebro,4874,2164,2710
,,,,district - Vesterbro/Kongens Enghave,5709,2605,3104
,,,,district - Valby,3955,1731,2224
,,,,district - Vanløse,2557,1032,1525
,,,,district - Brønshøj-Husum,2580,1152,1428
,,,,district - Bispebjerg,3177,1416,1761
,,,,district - Amager Øst,3847,1763,2084
,,,,district - Amager Vest,5773,2588,3185
,,,,local committee - inner city,2351,1106,1245
,,,,local committee - Christianshavn,726,298,428
,,,,local committee - Østerbro,4648,1880,2768
,,,,local committee - Nørrebro,4874,2164,2710
,,,,local committee - Vesterbro,3616,1660,1956
,,,,local committee - Kgs. Enghave,2093,945,1148
,,,,local committee - Valby,3955,1731,2224
,,,,local committee - Vanløse,2557,1032,1525
,,,,local committee - Brønshøj-Husum,2580,1152,1428
,,,,local committee - Bispebjerg,3177,1416,1761
,,,,local committee - Amager Øst,3847,1763,2084
,,,,local committee - Amager Vest,5773,2588,3185
,,,,inner city - Middelalderbyen,468,232,236
,,,,inner city - Metropolzonen,174,98,76
,,,,inner city - Nansensgade-kvarteret,442,206,236
,,,,inner city - Øster Farimagsgade-kvarteret,417,194,223
,,,,inner city - Østerport,247,101,146
,,,,inner city - Frederiksstaden,445,191,254
,,,,inner city - Gammelholm og Nyhavn,158,84,74
,,,,Christianshavn - Neden Vandet,172,70,102
,,,,Christianshavn - Oven Vandet,347,144,203
,,,,Christianshavn - Holmen og Refshaleøen,207,84,123
,,,,Østerbro - Nord/Komponistkvarteret,184,79,105
,,,,Østerbro - Svanemøllen Syd/Øst,588,209,379
,,,,Østerbro - yearshusgade Nord,521,216,305
,,,,Østerbro - yearshusgade Syd,728,291,437
,,,,Østerbro - Rosenvænget,618,239,379
,,,,Østerbro - Ny Ryvang,141,60,81
,,,,Østerbro - Nord,263,105,158
,,,,Østerbro - Nordhavn,396,187,209
,,,,Østerbro - Lyngbyvej Vest,275,111,164
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,457,192,265
,,,,Østerbro - Fælled,477,191,286
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,942,417,525
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1179,514,665
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1204,537,667
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1007,467,540
,,,,Nørrebro - Haraldsgade-kvarteret,542,229,313
,,,,Vesterbro - Vest,908,418,490
,,,,Vesterbro - Central,1841,801,1040
,,,,Vesterbro - Øst,547,272,275
,,,,Vesterbro - Syd,320,169,151
,,,,Kgs. Enghave - Bavnehøj,182,77,105
,,,,Kgs. Enghave - Gl. Sydhavn,745,295,450
,,,,Kgs. Enghave - Holmene,1166,573,593
,,,,Valby - Gl. Valby,800,360,440
,,,,Valby - Syd,1361,594,767
,,,,Valby - Ålholm,588,251,337
,,,,Valby - Valby Sydvest,822,367,455
,,,,Valby - Vigerslev,384,159,225
,,,,Vanløse - Jyllingevej Kvarter,832,341,491
,,,,Vanløse - Jernbane Allé Kvarter,838,334,504
,,,,Vanløse - Sallingvej Kvarter,576,236,340
,,,,Vanløse - Grøndals Park Kvarter,311,121,190
,,,,Brønshøj-Husum - Husum,1046,497,549
,,,,Brønshøj-Husum - Husum Nord,438,185,253
,,,,Brønshøj-Husum - Tingbjerg,184,82,102
,,,,Brønshøj-Husum - Brønshøj,695,306,389
,,,,Brønshøj-Husum - Bellahøj,217,82,135
,,,,Bispebjerg - Emdrup,224,96,128
,,,,Bispebjerg- Ryparken-Lundehus,350,138,212
,,,,Bispebjerg - Bispebjerg,385,174,211
,,,,Bispebjerg - Utterslev,337,148,189
,,,,Bispebjerg - Nordvest,1881,860,1021
,,,,Amager Øst - Amagerbro Øst,1256,555,701
,,,,Amager Øst - Sundbyøster,841,380,461
,,,,Amager Øst - Villakvartererne,1014,459,555
,,,,Amager Øst - Nordøstamager,736,369,367
,,,,Amager Vest - Amagerbro Vest,439,183,256
,,,,Amager Vest - Bryggen Syd,433,201,232
,,,,Amager Vest - Faste Batteri,251,108,143
,,,,Amager Vest - Gamle Bryggen,556,221,335
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),183,90,93
,,,,Amager Vest - Kolonihavekvarteret,393,168,225
,,,,Amager Vest - Sundbyvester,826,357,469
,,,,Amager Vest - Sundholmsvejs kvarteret,547,232,315
,,,,Amager Vest - Urbanplanen,184,69,115
,,,,Amager Vest - Ørestad City,846,430,416
,,,,Amager Vest - Ørestad Syd,1115,529,586
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,64938,30996,33942
,,,,district - inner city,6175,3011,3164
,,,,district - Østerbro,8623,4080,4543
,,,,district - Nørrebro,7649,3487,4162
,,,,district - Vesterbro/Kongens Enghave,9729,4607,5122
,,,,district - Valby,5629,2662,2967
,,,,district - Vanløse,3911,1834,2077
,,,,district - Brønshøj-Husum,3913,1915,1998
,,,,district - Bispebjerg,3961,1954,2007
,,,,district - Amager Øst,5782,2752,3030
,,,,district - Amager Vest,9152,4451,4701
,,,,local committee - inner city,4718,2326,2392
,,,,local committee - Christianshavn,1457,685,772
,,,,local committee - Østerbro,8623,4080,4543
,,,,local committee - Nørrebro,7649,3487,4162
,,,,local committee - Vesterbro,6575,3073,3502
,,,,local committee - Kgs. Enghave,3154,1534,1620
,,,,local committee - Valby,5629,2662,2967
,,,,local committee - Vanløse,3911,1834,2077
,,,,local committee - Brønshøj-Husum,3913,1915,1998
,,,,local committee - Bispebjerg,3961,1954,2007
,,,,local committee - Amager Øst,5782,2752,3030
,,,,local committee - Amager Vest,9152,4451,4701
,,,,inner city - Middelalderbyen,861,462,399
,,,,inner city - Metropolzonen,297,159,138
,,,,inner city - Nansensgade-kvarteret,788,380,408
,,,,inner city - Øster Farimagsgade-kvarteret,986,454,532
,,,,inner city - Østerport,525,238,287
,,,,inner city - Frederiksstaden,892,454,438
,,,,inner city - Gammelholm og Nyhavn,369,179,190
,,,,Christianshavn - Neden Vandet,349,168,181
,,,,Christianshavn - Oven Vandet,616,281,335
,,,,Christianshavn - Holmen og Refshaleøen,492,236,256
,,,,Østerbro - Nord/Komponistkvarteret,472,211,261
,,,,Østerbro - Svanemøllen Syd/Øst,861,419,442
,,,,Østerbro - yearshusgade Nord,892,405,487
,,,,Østerbro - yearshusgade Syd,1328,627,701
,,,,Østerbro - Rosenvænget,1254,558,696
,,,,Østerbro - Ny Ryvang,156,67,89
,,,,Østerbro - Nord,531,229,302
,,,,Østerbro - Nordhavn,1112,578,534
,,,,Østerbro - Lyngbyvej Vest,503,257,246
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,685,343,342
,,,,Østerbro - Fælled,829,386,443
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1542,723,819
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1892,802,1090
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1989,924,1065
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1550,732,818
,,,,Nørrebro - Haraldsgade-kvarteret,676,306,370
,,,,Vesterbro - Vest,1971,939,1032
,,,,Vesterbro - Central,2864,1256,1608
,,,,Vesterbro - Øst,988,481,507
,,,,Vesterbro - Syd,752,397,355
,,,,Kgs. Enghave - Bavnehøj,206,92,114
,,,,Kgs. Enghave - Gl. Sydhavn,809,345,464
,,,,Kgs. Enghave - Holmene,2139,1097,1042
,,,,Valby - Gl. Valby,1159,523,636
,,,,Valby - Syd,1960,907,1053
,,,,Valby - Ålholm,912,409,503
,,,,Valby - Valby Sydvest,1079,559,520
,,,,Valby - Vigerslev,519,264,255
,,,,Vanløse - Jyllingevej Kvarter,1407,650,757
,,,,Vanløse - Jernbane Allé Kvarter,995,472,523
,,,,Vanløse - Sallingvej Kvarter,992,481,511
,,,,Vanløse - Grøndals Park Kvarter,517,231,286
,,,,Brønshøj-Husum - Husum,1646,770,876
,,,,Brønshøj-Husum - Husum Nord,452,252,200
,,,,Brønshøj-Husum - Tingbjerg,212,140,72
,,,,Brønshøj-Husum - Brønshøj,1465,685,780
,,,,Brønshøj-Husum - Bellahøj,138,68,70
,,,,Bispebjerg - Emdrup,412,185,227
,,,,Bispebjerg- Ryparken-Lundehus,407,198,209
,,,,Bispebjerg - Bispebjerg,422,191,231
,,,,Bispebjerg - Utterslev,434,217,217
,,,,Bispebjerg - Nordvest,2286,1163,1123
,,,,Amager Øst - Amagerbro Øst,1658,828,830
,,,,Amager Øst - Sundbyøster,1142,547,595
,,,,Amager Øst - Villakvartererne,1744,782,962
,,,,Amager Øst - Nordøstamager,1238,595,643
,,,,Amager Vest - Amagerbro Vest,662,293,369
,,,,Amager Vest - Bryggen Syd,1008,488,520
,,,,Amager Vest - Faste Batteri,624,334,290
,,,,Amager Vest - Gamle Bryggen,997,459,538
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),387,192,195
,,,,Amager Vest - Kolonihavekvarteret,616,291,325
,,,,Amager Vest - Sundbyvester,1345,640,705
,,,,Amager Vest - Sundholmsvejs kvarteret,594,287,307
,,,,Amager Vest - Urbanplanen,160,64,96
,,,,Amager Vest - Ørestad City,1164,597,567
,,,,Amager Vest - Ørestad Syd,1595,806,789
,,danish ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,10088,6520,3568
,,,,district - inner city,707,445,262
,,,,district - Østerbro,971,634,337
,,,,district - Nørrebro,1018,640,378
,,,,district - Vesterbro/Kongens Enghave,1389,933,456
,,,,district - Valby,1029,684,345
,,,,district - Vanløse,594,381,213
,,,,district - Brønshøj-Husum,644,406,238
,,,,district - Bispebjerg,1093,721,372
,,,,district - Amager Øst,1066,653,413
,,,,district - Amager Vest,1339,813,526
,,,,local committee - inner city,482,305,177
,,,,local committee - Christianshavn,225,140,85
,,,,local committee - Østerbro,971,634,337
,,,,local committee - Nørrebro,1018,640,378
,,,,local committee - Vesterbro,642,426,216
,,,,local committee - Kgs. Enghave,747,507,240
,,,,local committee - Valby,1029,684,345
,,,,local committee - Vanløse,594,381,213
,,,,local committee - Brønshøj-Husum,644,406,238
,,,,local committee - Bispebjerg,1093,721,372
,,,,local committee - Amager Øst,1066,653,413
,,,,local committee - Amager Vest,1339,813,526
,,,,inner city - Middelalderbyen,98,60,38
,,,,inner city - Metropolzonen,22,..,..
,,,,inner city - Nansensgade-kvarteret,97,56,41
,,,,inner city - Øster Farimagsgade-kvarteret,70,47,23
,,,,inner city - Østerport,47,24,23
,,,,inner city - Frederiksstaden,113,78,35
,,,,inner city - Gammelholm og Nyhavn,35,..,..
,,,,Christianshavn - Neden Vandet,49,33,16
,,,,Christianshavn - Oven Vandet,156,..,..
,,,,Christianshavn - Holmen og Refshaleøen,20,..,..
,,,,Østerbro - Nord/Komponistkvarteret,54,34,20
,,,,Østerbro - Svanemøllen Syd/Øst,197,121,76
,,,,Østerbro - yearshusgade Nord,111,76,35
,,,,Østerbro - yearshusgade Syd,112,73,39
,,,,Østerbro - Rosenvænget,85,63,22
,,,,Østerbro - Ny Ryvang,74,43,31
