Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2768;1320;1448
;;;Amager Vest - Kolonihavekvarteret;4615;2321;2294
;;;Amager Vest - Sundbyvester;10274;5001;5273
;;;Amager Vest - Sundholmsvejs kvarteret;9733;4648;5085
;;;Amager Vest - Urbanplanen;3767;1767;2000
;;;Amager Vest - Ørestad City;8476;4454;4022
;;;Amager Vest - Ørestad Syd;10110;5190;4920
;;Equivalised disposable income;København i alt;546308;266518;279790
;;;Bydel - Indre By;47705;23031;24674
;;;Bydel - Østerbro;68054;32340;35714
;;;Bydel - Nørrebro;66548;31305;35243
;;;Bydel - Vesterbro/Kongens Enghave;68278;33782;34496
;;;Bydel - Valby;53758;26584;27174
;;;Bydel - Vanløse;33897;16562;17335
;;;Bydel - Brønshøj-Husum;34918;17293;17625
;;;Bydel - Bispebjerg;46279;22838;23441
;;;Bydel - Amager Øst;52355;25401;26954
;;;Bydel - Amager Vest;71980;35558;36422
;;;Bydel - Uden for inddeling;2536;1824;712
;;;Lokaludvalg - Indre By;36474;17651;18823
;;;Lokaludvalg - Christianshavn;11231;5380;5851
;;;Lokaludvalg - Østerbro;68054;32340;35714
;;;Lokaludvalg - Nørrebro;66548;31305;35243
;;;Lokaludvalg - Vesterbro;39250;19171;20079
;;;Lokaludvalg - Kgs. Enghave;29028;14611;14417
;;;Lokaludvalg - Valby;53758;26584;27174
;;;Lokaludvalg - Vanløse;33897;16562;17335
;;;Lokaludvalg - Brønshøj-Husum;34918;17293;17625
;;;Lokaludvalg - Bispebjerg;46279;22838;23441
;;;Lokaludvalg - Amager Øst;52355;25401;26954
;;;Lokaludvalg - Amager Vest;71980;35558;36422
;;;Lokaludvalg - Uden for inddeling;2536;1824;712
;;;Indre By - Middelalderbyen;7336;3655;3681
;;;Indre By - Metropolzonen;2389;1184;1205
;;;Indre By - Nansensgade-kvarteret;5630;2717;2913
;;;Indre By - Øster Farimagsgade-kvarteret;6031;2825;3206
;;;Indre By - Østerport;3744;1776;1968
;;;Indre By - Frederiksstaden;8558;4156;4402
;;;Indre By - Gammelholm og Nyhavn;2786;1338;1448
;;;Christianshavn - Neden Vandet;2709;1324;1385
;;;Christianshavn - Oven Vandet;5786;2727;3059
;;;Christianshavn - Holmen og Refshaleøen;2736;1329;1407
;;;Østerbro - Nord/Komponistkvarteret;2988;1396;1592
;;;Østerbro - Svanemøllen Syd/Øst;9078;4360;4718
;;;Østerbro - Århusgade Nord;8073;3849;4224
;;;Østerbro - Århusgade Syd;9996;4751;5245
;;;Østerbro - Rosenvænget;8321;3946;4375
;;;Østerbro - Ny Ryvang;2645;1294;1351
;;;Østerbro - Nord;4096;1807;2289
;;;Østerbro - Nordhavn;5041;2562;2479
;;;Østerbro - Lyngbyvej Vest;4419;2133;2286
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;6222;2985;3237
;;;Østerbro - Fælled;7175;3257;3918
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;12110;5722;6388
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;16537;7710;8827
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;14830;6961;7869
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;14417;6903;7514
;;;Nørrebro - Haraldsgade-kvarteret;8654;4009;4645
;;;Vesterbro - Vest;9815;4719;5096
;;;Vesterbro - Central;19073;9170;9903
;;;Vesterbro - Øst;6446;3202;3244
;;;Vesterbro - Syd;3916;2080;1836
;;;Kgs. Enghave - Bavnehøj;3533;1754;1779
;;;Kgs. Enghave - Gl. Sydhavn;12075;5870;6205
;;;Kgs. Enghave - Holmene;13420;6987;6433
;;;Valby - Gl. Valby;10432;5039;5393
;;;Valby - Syd;17353;8536;8817
;;;Valby - Ålholm;8104;3994;4110
;;;Valby - Valby Sydvest;11967;6001;5966
;;;Valby - Vigerslev;5902;3014;2888
;;;Vanløse - Jyllingevej Kvarter;9458;4662;4796
;;;Vanløse - Jernbane Allé Kvarter;12078;5849;6229
;;;Vanløse - Sallingvej Kvarter;8021;3939;4082
;;;Vanløse - Grøndals Park Kvarter;4340;2112;2228
;;;Brønshøj-Husum - Husum;12575;6349;6226
;;;Brønshøj-Husum - Husum Nord;7008;3472;3536
;;;Brønshøj-Husum - Tingbjerg;3878;1853;2025
;;;Brønshøj-Husum - Brønshøj;8371;4095;4276
