"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,55 years,511
,,56 years,490
,,57 years,498
,,58 years,509
,,59 years,544
,,60 years,555
,,61 years,492
,,62 years,476
,,63 years,418
,,64 years,434
,,65 years,447
,,66 years,387
,,67 years,411
,,68 years,336
,,69 years,313
,,70 years,311
,,71 years,290
,,72 years,292
,,73 years,279
,,74 years,259
,,75 years,258
,,76 years,221
,,77 years,262
,,78 years,279
,,79 years,199
,,80 years,227
,,81 years,168
,,82 years,157
,,83 years,136
,,84 years,106
,,85 years,116
,,86 years,89
,,87 years,75
,,88 years,69
,,89 years,41
,,90 years,31
,,91 years,38
,,92 years,24
,,93 years,30
,,94 years,18
,,95 years,8
,,96 years,14
,,97 years,12
,,98 years,7
,,99+ years,14
,Quarter - Amager Øst,0 years,906
,,1 years,747
,,2 years,596
,,3 years,635
,,4 years,628
,,5 years,527
,,6 years,532
,,7 years,534
,,8 years,546
,,9 years,495
,,10 years,500
,,11 years,425
,,12 years,488
,,13 years,487
,,14 years,468
,,15 years,540
,,16 years,487
,,17 years,476
,,18 years,562
,,19 years,589
,,20 years,688
,,21 years,943
,,22 years,1311
,,23 years,1600
,,24 years,1720
,,25 years,1810
,,26 years,1802
,,27 years,1870
,,28 years,1849
,,29 years,1873
,,30 years,1719
,,31 years,1761
,,32 years,1500
,,33 years,1487
,,34 years,1360
,,35 years,1275
,,36 years,1093
,,37 years,1074
,,38 years,976
,,39 years,893
,,40 years,806
,,41 years,790
,,42 years,780
,,43 years,730
,,44 years,744
,,45 years,775
,,46 years,758
,,47 years,790
,,48 years,730
,,49 years,743
,,50 years,802
,,51 years,839
,,52 years,729
,,53 years,724
,,54 years,701
,,55 years,655
,,56 years,642
,,57 years,610
,,58 years,651
,,59 years,646
,,60 years,615
,,61 years,559
,,62 years,566
,,63 years,518
,,64 years,487
,,65 years,473
,,66 years,444
,,67 years,434
,,68 years,396
,,69 years,397
,,70 years,360
,,71 years,349
,,72 years,347
,,73 years,314
,,74 years,325
,,75 years,296
,,76 years,301
,,77 years,288
,,78 years,298
,,79 years,257
,,80 years,273
,,81 years,200
,,82 years,177
,,83 years,152
,,84 years,131
,,85 years,115
,,86 years,106
,,87 years,92
,,88 years,67
,,89 years,35
,,90 years,33
,,91 years,24
,,92 years,27
,,93 years,26
,,94 years,19
,,95 years,4
,,96 years,8
,,97 years,8
,,98 years,2
,,99+ years,2
,Quarter - Amager Vest,0 years,1289
,,1 years,1111
,,2 years,998
,,3 years,939
,,4 years,1024
,,5 years,910
,,6 years,904
,,7 years,892
,,8 years,896
,,9 years,903
,,10 years,816
,,11 years,837
,,12 years,793
,,13 years,828
,,14 years,833
,,15 years,860
,,16 years,809
,,17 years,826
,,18 years,779
,,19 years,824
,,20 years,1020
,,21 years,1488
,,22 years,1910
,,23 years,2356
,,24 years,2411
,,25 years,2453
,,26 years,2358
,,27 years,2320
,,28 years,2345
,,29 years,2230
,,30 years,2283
,,31 years,2196
,,32 years,2122
,,33 years,2073
,,34 years,1931
,,35 years,1874
,,36 years,1717
,,37 years,1637
,,38 years,1491
,,39 years,1447
,,40 years,1352
,,41 years,1312
,,42 years,1168
,,43 years,1189
,,44 years,1226
,,45 years,1205
,,46 years,1230
,,47 years,1238
,,48 years,1060
,,49 years,1098
,,50 years,1136
,,51 years,1120
,,52 years,969
,,53 years,975
,,54 years,924
,,55 years,861
,,56 years,795
,,57 years,853
,,58 years,885
,,59 years,850
,,60 years,828
,,61 years,772
,,62 years,717
,,63 years,640
,,64 years,602
,,65 years,638
,,66 years,591
,,67 years,522
,,68 years,469
,,69 years,507
,,70 years,506
,,71 years,463
,,72 years,439
