Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Lokaludvalg - Uden for inddeling;306;183;123
;;;Indre By - Middelalderbyen;1480;673;807
;;;Indre By - Metropolzonen;309;115;194
;;;Indre By - Nansensgade-kvarteret;686;292;394
;;;Indre By - Øster Farimagsgade-kvarteret;630;286;344
;;;Indre By - Østerport;351;151;200
;;;Indre By - Frederiksstaden;1197;542;655
;;;Indre By - Gammelholm og Nyhavn;318;134;184
;;;Christianshavn - Neden Vandet;187;88;99
;;;Christianshavn - Oven Vandet;542;247;295
;;;Christianshavn - Holmen og Refshaleøen;331;149;182
;;;Østerbro - Nord/Komponistkvarteret;298;137;161
;;;Østerbro - Svanemøllen Syd/Øst;1014;488;526
;;;Østerbro - Århusgade Nord;1063;465;598
;;;Østerbro - Århusgade Syd;1114;482;632
;;;Østerbro - Rosenvænget;872;407;465
;;;Østerbro - Ny Ryvang;365;148;217
;;;Østerbro - Nord;259;133;126
;;;Østerbro - Nordhavn;423;207;216
;;;Østerbro - Lyngbyvej Vest;415;209;206
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;762;340;422
;;;Østerbro - Fælled;813;367;446
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;1308;540;768
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;2209;954;1255
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;1513;622;891
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;2036;860;1176
;;;Nørrebro - Haraldsgade-kvarteret;1228;536;692
