Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);533;237;296
;;;Amager Vest - Kolonihavekvarteret;1009;495;514
;;;Amager Vest - Sundbyvester;1766;882;884
;;;Amager Vest - Sundholmsvejs kvarteret;3194;1591;1603
;;;Amager Vest - Urbanplanen;1580;783;797
;;;Amager Vest - Ørestad City;3152;1505;1647
;;;Amager Vest - Ørestad Syd;3123;1519;1604
;Employed;All citizenships;København i alt;388434;194440;193994
;;;Bydel - Indre By;33311;16623;16688
;;;Bydel - Østerbro;48687;23774;24913
;;;Bydel - Nørrebro;47750;22931;24819
;;;Bydel - Vesterbro/Kongens Enghave;50615;25565;25050
;;;Bydel - Valby;39109;19952;19157
;;;Bydel - Vanløse;23908;11983;11925
;;;Bydel - Brønshøj-Husum;22814;11744;11070
;;;Bydel - Bispebjerg;31362;15734;15628
;;;Bydel - Amager Øst;38248;19083;19165
;;;Bydel - Amager Vest;51700;26430;25270
;;;Lokaludvalg - Indre By;25986;13014;12972
;;;Lokaludvalg - Christianshavn;7325;3609;3716
;;;Lokaludvalg - Østerbro;48687;23774;24913
;;;Lokaludvalg - Nørrebro;47750;22931;24819
;;;Lokaludvalg - Vesterbro;30572;15136;15436
;;;Lokaludvalg - Kgs. Enghave;20043;10429;9614
;;;Lokaludvalg - Valby;39109;19952;19157
;;;Lokaludvalg - Vanløse;23908;11983;11925
;;;Lokaludvalg - Brønshøj-Husum;22814;11744;11070
;;;Lokaludvalg - Bispebjerg;31362;15734;15628
;;;Lokaludvalg - Amager Øst;38248;19083;19165
;;;Lokaludvalg - Amager Vest;51700;26430;25270
;;;Indre By - Middelalderbyen;5505;2814;2691
;;;Indre By - Metropolzonen;1663;865;798
;;;Indre By - Nansensgade-kvarteret;4117;2033;2084
;;;Indre By - Øster Farimagsgade-kvarteret;4315;2081;2234
;;;Indre By - Østerport;2540;1266;1274
;;;Indre By - Frederiksstaden;5879;2967;2912
;;;Indre By - Gammelholm og Nyhavn;1967;988;979
;;;Christianshavn - Neden Vandet;1713;874;839
;;;Christianshavn - Oven Vandet;3659;1746;1913
;;;Christianshavn - Holmen og Refshaleøen;1953;989;964
;;;Østerbro - Nord/Komponistkvarteret;2209;1068;1141
;;;Østerbro - Svanemøllen Syd/Øst;6243;3104;3139
;;;Østerbro - Århusgade Nord;6092;2979;3113
;;;Østerbro - Århusgade Syd;7512;3569;3943
;;;Østerbro - Rosenvænget;6084;2917;3167
;;;Østerbro - Ny Ryvang;1494;775;719
;;;Østerbro - Nord;2513;1201;1312
;;;Østerbro - Nordhavn;3962;2082;1880
;;;Østerbro - Lyngbyvej Vest;3111;1533;1578
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;4603;2261;2342
;;;Østerbro - Fælled;4864;2285;2579
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;8481;4118;4363
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;11588;5494;6094
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;11012;5258;5754
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;10679;5223;5456
;;;Nørrebro - Haraldsgade-kvarteret;5990;2838;3152
;;;Vesterbro - Vest;7573;3696;3877
;;;Vesterbro - Central;14678;7162;7516
;;;Vesterbro - Øst;5052;2522;2530
;;;Vesterbro - Syd;3269;1756;1513
;;;Kgs. Enghave - Bavnehøj;2191;1065;1126
;;;Kgs. Enghave - Gl. Sydhavn;6779;3420;3359
;;;Kgs. Enghave - Holmene;11073;5944;5129
;;;Valby - Gl. Valby;7819;3881;3938
